Questions,Answers
What is cryptocurrency,"Cryptocurrency or crypto is decentralized digital money that’s (mostly) based on blockchain technology that can be used to buy goods and services. Many companies have issued their own currencies, often called tokens, and these can be traded specifically for the good or service that the company provides.The most popular cryptocurrency  is bitcoin."
how many cryptocurrecncies are there,"currently, there are more than 15,000 cryptocurrencies  on the market and they continue to increase rapidly. Examples of the popular cryptocurrency  include Bitcoin, Ethereum and XRP"   
How much does cryptocurrency market worth?,"In 2021, crypto market worth over 2.2 trillion US dollars. "
Which cryptocurrecnycurrency worth the most,"Bitcoin"
What are the different type of cryptocurrencies,"There are 4 main types of crypto, payment currencies, privacy coins ,utility tokens and stablescoins 	  "
What is payment cryptocurrency,"Payment currencies can be used to pay for goods and service and cash out from digital currencies to local fiat currecies.While every digital asset can theoretically be used to pay for things, merchant adoption or acceptance by providers of goods and services is more widespread for Payment Currencies.Examples of payment currencies are Bitcoin and Litecoin"
What is privacy coins,"Digital assets that are created with focus on privacy. In Privacy Coin transactions, only the sender and receiver know the number of coins transacted. Also, the balance of a Privacy Coin wallet address is only known by the owner of the wallet."
What is utility tokens,"Utility tokens are digital tokens that are used for a blockchain-based product or service. They run on a blockchain platform, or in other words, are part of a Blockchain Economy. Examples of Utility Tokens include Etherium (ETH) and OmiseGo (OMG)"
What is Stablecoins,"Stablecoins are cryptocurrencies that are designed to maintain a stable price over time. Stablecoins are often pegged to fiat currency, such as the US dollar, and backed by collateral. People primarily use stablecoins to store and trade value  within the crypto ecosystem. Example of stablecoins are Tether (USDT), USD Coin (USDC)"
Where can I buy cryptocurrency,"You can buy cryptocurrency through  Cryptocurrency Exchanges Platform like Coinbase, Binance and Gemini"
What is the benefit of cryptocurrency,"The cryptocurrecny transaction is gernarlly quick, cheap and safe.Every cryptocurrency transaction is recorded blockchain, this makes it possible to trace the history of Bitcoins to stop people from spending coins they do not own, making copies or undoing transactions. Blockchain cut out internediaries like bank, therfore no payment processing fee."
What is disadvantage of cryptocurrency,"The value of cypto can change significantly within short periond of time. Many people don't feel safe with it's flutuactly price."
